date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Imports -  GWh,Exports -  GWh,Battery (Charging) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Volume Weighted Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Imports Market Value - AUD,Exports Market Value - AUD,Battery (Charging) Market Value - AUD
2019-02-23 00:00,5.51,1.15,20.75,0.11,0.00,1.07,6.46,4.57,0.00,1.34,-1.90,-0.14,18.40,26.20,32.10,78.57,353570.07,79068.12,1506538.13,10847.91,0.00,111586.50,545894.19,403512.51,34.82,-103442.92,124564.01,8975.83
2019-02-24 00:00,5.39,1.11,13.75,0.09,0.00,1.11,7.75,8.75,0.00,5.19,-0.23,-0.10,18.90,29.25,36.10,92.99,487036.15,102898.40,1015761.81,10583.64,0.00,141238.06,889810.05,918325.18,39.58,-435626.97,23889.22,5288.88
2019-02-25 00:00,5.08,1.10,14.20,0.08,0.00,2.73,13.49,12.50,0.05,3.22,-0.94,-0.11,26.30,31.19,37.00,142.71,867703.33,189222.69,1503688.29,17257.76,0.00,544532.91,1941309.41,1981138.61,12111.49,-529200.51,87283.30,5991.27
2019-02-26 00:00,5.08,1.08,15.14,0.09,0.00,2.08,14.54,7.64,0.00,6.20,0.00,-0.12,20.60,29.13,36.20,122.38,719004.77,151041.44,1739237.24,11595.04,0.00,277233.48,1793741.02,959250.08,53.91,-787996.48,0.00,10574.94
2019-02-27 00:00,5.31,1.06,10.49,0.09,0.00,2.52,13.56,10.33,0.04,9.51,0.00,-0.13,21.20,28.67,36.80,146.82,930449.61,190713.43,943850.86,18524.67,0.00,500055.06,1969561.66,1761970.36,10942.59,-1579441.35,0.00,9057.76
2019-02-28 00:00,4.99,0.98,8.20,0.08,0.00,2.94,14.75,11.90,0.56,8.18,0.00,-0.11,20.00,27.96,36.20,170.17,996654.38,188248.94,1065224.20,18222.69,0.00,685801.44,2404076.46,2315575.02,145487.00,-1269220.11,0.00,10729.91
2019-03-01 00:00,5.15,1.05,16.48,0.10,0.00,3.79,13.65,12.23,0.75,4.06,-0.88,-0.14,21.20,32.15,40.00,1227.26,9065950.12,2174518.54,6914026.45,519715.93,0.00,10542877.97,15310696.72,20641430.03,4149090.65,-2072780.13,95371.84,15307.84
2019-03-02 00:00,5.06,0.96,19.34,0.13,0.00,2.88,12.20,11.66,0.05,5.23,-1.45,-0.14,25.70,33.15,39.70,140.77,848822.70,167945.70,1562601.95,26682.89,0.00,643841.24,1827930.94,1980990.72,10749.25,-991672.28,54413.40,8807.23
2019-03-03 00:00,3.37,0.96,13.55,0.10,0.00,1.12,13.43,9.68,0.00,2.67,-1.41,-0.17,20.00,25.82,31.00,146.46,620654.88,169978.36,1816563.88,21872.98,0.00,229319.07,2002086.21,1451918.55,619.61,-342999.93,172372.51,19063.43
2019-03-04 00:00,4.83,0.76,8.17,0.09,0.00,2.50,14.08,6.93,0.00,6.11,-0.49,-0.10,17.60,23.73,30.00,141.14,695371.91,107491.40,1180610.48,14485.54,0.00,365411.44,1992745.89,986298.60,561.97,-810834.97,74817.28,12142.93
2019-03-05 00:00,4.79,1.00,13.19,0.10,0.00,1.05,14.81,5.30,0.01,2.80,-4.45,-0.12,15.50,19.15,23.40,116.01,520963.06,105915.77,1193024.53,10865.91,0.00,142674.63,1768261.70,672119.90,1399.87,-422424.77,401310.81,13463.87
2019-03-06 00:00,4.26,1.20,21.54,0.13,0.00,0.52,8.54,3.16,0.02,0.47,-4.61,-0.18,13.20,16.81,20.50,76.51,253800.91,76778.30,1441202.33,12684.35,0.00,58042.66,733963.47,245535.29,1687.51,-58019.49,254659.32,7528.70
2019-03-07 00:00,5.28,1.25,9.13,0.12,0.00,0.71,13.76,4.82,0.02,2.24,-2.49,-0.14,10.80,17.83,25.10,100.41,372386.29,90323.49,797577.58,12078.08,0.00,89709.26,1374029.10,529751.01,1762.82,-266685.97,195298.23,11325.70
2019-03-08 00:00,2.82,0.80,5.15,0.14,0.00,0.76,13.82,5.94,0.01,5.64,-0.18,-0.15,15.00,21.33,26.40,121.45,286172.95,81681.44,593398.66,21171.78,0.00,93239.19,1666746.66,760021.62,2269.24,-690355.30,17166.02,14820.34
2019-03-09 00:00,5.10,1.17,4.91,0.13,0.00,2.75,14.26,3.02,0.00,5.48,-1.69,-0.15,16.30,21.60,26.80,104.23,370732.86,89296.40,393289.43,14435.01,0.00,300278.57,1483884.95,325869.25,47.22,-628718.47,108257.35,13282.99
2019-03-10 00:00,2.72,0.94,13.20,0.13,0.00,0.24,10.06,4.22,0.00,4.94,-2.68,-0.15,18.60,21.65,25.40,77.57,142072.87,51010.29,870979.79,10484.50,0.00,25285.25,868726.63,325787.34,35.64,-422380.64,166138.34,10550.13
2019-03-11 00:00,3.95,0.88,12.87,0.11,0.00,0.19,13.88,2.43,0.00,2.51,-4.14,-0.15,18.80,20.39,22.80,78.79,256086.50,56786.92,911402.87,8966.36,0.00,12815.46,1105356.07,194600.44,35.71,-225390.51,253700.52,11199.48
2019-03-12 00:00,4.76,1.16,14.73,0.10,0.00,0.74,12.38,3.49,0.00,0.87,-2.86,-0.16,14.70,18.52,21.10,77.41,331618.50,82990.65,982766.16,8263.90,0.00,74583.06,1015022.61,322467.92,34.31,-83175.62,201269.77,11030.19
2019-03-13 00:00,4.30,0.98,5.74,0.12,0.00,1.78,15.73,8.66,0.01,0.89,-2.60,-0.10,12.60,16.91,21.20,119.45,483058.32,111315.93,675146.46,15515.47,0.00,204967.64,1857674.96,1042274.23,1562.61,-114307.49,287933.56,10235.82
2019-03-14 00:00,5.48,1.28,6.96,0.10,0.00,0.55,15.54,10.75,0.00,0.30,-3.83,-0.14,11.00,17.88,24.00,120.46,572215.30,135774.51,817500.15,14330.01,0.00,78956.69,1843083.79,1294968.85,50.42,-36888.29,414385.19,16423.24
