SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2021-02-28,NEM,474178.35477149,364592.53887824,0.7689
2021-02-28,NSW1,157312.02886699,120461.48992026,0.7657
2021-02-28,QLD1,156493.5757185,119895.7083533,0.7661
2021-02-28,SA1,22080.657214,7875.1120164,0.3567
2021-02-28,TAS1,18935.094313,0.0,0.0
2021-02-28,VIC1,119356.998659,116360.22858828,0.9749
2021-03-01,NEM,535967.43729417,377807.94703021,0.7049
2021-03-01,NSW1,193811.388927,129981.99174664,0.6707
2021-03-01,QLD1,163028.45042317,125209.11903548,0.768
2021-03-01,SA1,27949.59204,6686.92397311,0.2392
2021-03-01,TAS1,18513.468717,24.7429595,0.0013
2021-03-01,VIC1,132664.537187,115905.16931548,0.8737
2021-03-02,NEM,510902.39190799,362881.24668347,0.7103
2021-03-02,NSW1,161751.083103,117497.84391744,0.7264
2021-03-02,QLD1,163201.784892,121075.12402095,0.7419
2021-03-02,SA1,29425.489975,4778.53134591,0.1624
2021-03-02,TAS1,21339.206781,186.19148747,0.0087
2021-03-02,VIC1,135184.82715699,119343.5559117,0.8828
2021-03-03,NEM,496722.53678659,360930.21808853,0.7266
2021-03-03,NSW1,153474.808112,115946.81800983,0.7555
2021-03-03,QLD1,159681.27999458,115876.14538529,0.7257
2021-03-03,SA1,26621.938908,4226.16705812,0.1587
2021-03-03,TAS1,21369.99749801,0.0,0.0
2021-03-03,VIC1,135574.512274,124881.08763529,0.9211
2021-03-04,NEM,495702.06966676,349621.47509742,0.7053
2021-03-04,NSW1,149694.477362,108900.55517798,0.7275
2021-03-04,QLD1,155892.29663575,114422.56172533,0.734
2021-03-04,SA1,23053.729862,3649.94408749,0.1583
2021-03-04,TAS1,21357.928315,37.91463421,0.0018
2021-03-04,VIC1,145703.63749201,122610.49947241,0.8415
2021-03-05,NEM,487225.17264274,345207.53224134,0.7085
2021-03-05,NSW1,145844.54975699,107200.18420363,0.735
2021-03-05,QLD1,155754.93603375,114253.32814449,0.7335
2021-03-05,SA1,21430.879276,3745.11267847,0.1748
2021-03-05,TAS1,20459.003549,0.0,0.0
2021-03-05,VIC1,143735.804027,120008.90721475,0.8349
2021-03-06,NEM,449242.12448464,322864.23985176,0.7187
2021-03-06,NSW1,139327.78810499,98726.31568543,0.7086
2021-03-06,QLD1,146262.12833966,106035.1584103,0.725
2021-03-06,SA1,23289.376417,3858.34000791,0.1657
2021-03-06,TAS1,18510.498122,0.0,0.0
2021-03-06,VIC1,121852.33350099,114244.42574812,0.9376
2021-03-07,NEM,450365.42672708,339309.50732987,0.7534
2021-03-07,NSW1,139901.083129,104997.57709424,0.7505
